----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |              Lower level              |              Upper level              |Type|           TP  |    Line  |
          |      Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------------|---------------------------------------|    |          Ref. |    Ref.  |
          |       Air (nm)  |  (?)  |           |      |                                       | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |               |          |
Ar II     |     707.7024    |     5 | 1.e+05    | C+   |    17.74308993    -     19.49453270   | 3s2.3p4.(3P).3d       | 4F      | 5/2 | 3s2.3p4.(3P).4p       | 4D*     | 7/2 |    |          T926 |  L14821  |
Ar I      |     710.7478    |    25 | 4.5e+05   | D+   |    13.09487176    -     14.83881010   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar II     |     712.1737    |     6 | 5.e+05    | E    |    18.06063878    -     19.80108536   | 3s2.3p4.(3P).3d       | 2P      | 3/2 | 3s2.3p4.(3P).4p       | 2P*     | 1/2 |    |          T926 |  L11520  |
Ar I      |     712.5820    |    25 | 6.0e+05   | D+   |    13.28263821    -     15.02208742   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     714.7042    |  1000 | 6.25e+05  | C    |    11.5483537     -     13.28263821   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1   |    |        T1242n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar I      |     715.8839    |    15 | 2.1e+06   | D+   |    13.28263821    -     15.0140646    | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* | 0   |    |        T1218n |   L2634  |
Ar I      |     720.6980    |    70 | 2.48e+06  | C    |    13.30222666    -     15.02208742   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* | 1   |    |        T1218n |   L2634  |
Ar II     |     723.35341   |    23 | 3.7e+06   | C+   |    18.25395091    -     19.96749786   | 3s2.3p4.(3P).3d       | 4P      | 1/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |    |          T926 |  L11520  |
Ar I      |     726.5172    |    15 | 1.7e+05   | D    |    13.15314307    -     14.859229     | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     727.0664    |     7 | 1.1e+05   | D    |    13.07571492    -     14.780511     | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* | 3   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar I      |     727.2936    |  2000 | 1.83e+06  | C    |    11.6235920     -     13.32785623   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1   |    |        T1242n |   L2634  |
Ar I      |     731.1716    |    35 | 1.7e+06   | D+   |    13.15314307    -     14.84836809   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     731.6005    |    25 | 9.6e+05   | D+   |    13.32785623    -     15.02208742   | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     735.0814    |     5 | 1.2e+06   | D+   |    13.32785623    -     15.0140646    | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).6s | 2[1/2]* | 0   |    |        T1218n |   L2634  |
Ar I      |     735.3293    |    70 | 9.6e+05   | D+   |    13.09487176    -     14.780511     | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* | 3   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     735.8338    |     2 | 2.e+05    | C    |    18.28805417    -     19.97253701   | 3s2.3p4.(3P).3d       | 4P      | 3/2 | 3s2.3p4.(3P).4p       | 2S*     | 1/2 |    |          T926 |  L14821  |
Ar I      |     737.2118    |   200 | 1.9e+06   | D+   |    13.07571492    -     14.7570507    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* | 4   |    |        T1218n |   L2634  |
Ar II     |     738.04229   |    44 | 5.6e+06   | C+   |    18.28805417    -     19.96749786   | 3s2.3p4.(3P).3d       | 4P      | 3/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |    |          T926 |  L11520  |
Ar I      |     738.3980    | 10000 | 8.47e+06  | C    |    11.6235920     -     13.30222666   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2   |    |        T1242n |   L2634  |
Ar I      |     739.2980    |    20 | 7.2e+05   | D+   |    13.17177690    -     14.84836809   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 1   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar I      |     741.2337    |    15 | 3.9e+05   | D+   |    13.28263821    -     14.95485113   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     742.5294    |    10 | 3.1e+05   | D    |    13.30222666    -     14.97152145   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 3   |    |        T1218n |   L2634  |
Ar I      |     743.5368    |    25 | 9.0e+05   | D+   |    13.17177690    -     14.83881010   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     743.6297    |    10 | 2.7e+05   | D    |    13.07571492    -     14.74253995   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     750.3869    | 20000 | 4.45e+07  | C    |    11.8280704     -     13.47988600   | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 0   |    |        T1242n |   L2634  |
